,PostId,PostUrl,Platform,ChannelID,ChannelName,ChannelEngagement,post_body_text,published_at,LikesCount,SharesCount,CommentsCount,ViewsCount,FollowersCount,FollowersCommentsRatio
3000,332698112,https://twitter.com/RepCiscomani/status/1843389462639956443,Twitter,16600539,Congressman Juan Ciscomani,"{""follower_count"":7986,""following_count"":375,""like_count"":null,""post_count"":2037,""views_count"":null,""comment_count"":null,""share_count"":null}","One year ago today, the world watched in horror as Hamas terrorists invaded Israel to inflict the worst attack against the Jewish people since the Holocaust. 

Read my statement ⬇️ https://t.co/nZGkJgkHAr",2024-10-07T20:34:31.000Z,7,1,2,528,798,399.0
3001,332698692,https://twitter.com/RepRitchie/status/1843389255110017357,Twitter,8643931,Rep. Ritchie Torres,"{""follower_count"":45858,""following_count"":1084,""like_count"":null,""post_count"":3644,""views_count"":null,""comment_count"":null,""share_count"":null}","This morning, I joined SAR Academy in Riverdale to commemorate the one-year anniversary of the October 7 massacre in Israel. 

October 7 is a day that will live in infamy as the most gruesome terrorist attack in the history of the Jewish State.

Despite the profound pain of the https://t.co/rk6uuWsSw4",2024-10-07T20:33:41.000Z,581,49,51,7441,4585,89.90196078431373
3002,332700881,https://twitter.com/sethmoulton/status/1843388569194561937,Twitter,10519446,Seth Moulton,"{""follower_count"":138172,""following_count"":2483,""like_count"":null,""post_count"":13746,""views_count"":null,""comment_count"":null,""share_count"":null}","October 7th is a tragic anniversary in the history of Israel, of anti-Semitism, and the history of humanity. One year ago, 1,200 innocent men, women, and children were murdered in unspeakably cruel ways, and 251 more were taken hostage.

Today, almost 100 hostages still languish",2024-10-07T20:30:58.000Z,11,0,8,3561,13817,1727.125
3003,332854954,https://twitter.com/DaveSunday_/status/1843387789439877220,Twitter,10719513,Dave Sunday,"{""follower_count"":2676,""following_count"":1470,""like_count"":null,""post_count"":2521,""views_count"":null,""comment_count"":null,""share_count"":null}","One year ago, the world witnessed Hamas commit unspeakable atrocities against the people of Israel. 

We continue to pray for peace and reaffirm our commitment to fighting antisemitism and hate in all forms.",2024-10-07T20:27:52.000Z,9,2,2,468,267,133.5
3004,332696535,https://twitter.com/RepCasten/status/1843387091704787134,Twitter,7342304,Rep. Sean Casten,"{""follower_count"":34104,""following_count"":3506,""like_count"":null,""post_count"":9994,""views_count"":null,""comment_count"":null,""share_count"":null}","On the first anniversary of the devastating October 7th terrorist attacks on Israel by Hamas, I mourn for the lives lost that day and every day since. (1/2)",2024-10-07T20:25:05.000Z,11,0,4,1219,3410,852.5
3005,332593818,https://twitter.com/RepBobGood/status/1843387083530064141,Twitter,8644768,Congressman Bob Good,"{""follower_count"":78085,""following_count"":161,""like_count"":null,""post_count"":3523,""views_count"":null,""comment_count"":null,""share_count"":null}","Today marks one year since Hamas brutally attacked our ally, Israel. Since then, thousands of lives have been altered, antisemitic rhetoric is being pushed, and support for their attackers is growing. I stand in solidarity with our friend and pray for their victory. https://t.co/RePbC2CaeP",2024-10-07T20:25:03.000Z,29,8,11,1126,7808,709.8181818181819
3006,331227506,https://twitter.com/KariLake/status/1843386979758813308,Twitter,8017524,Kari Lake,"{""follower_count"":2204878,""following_count"":1235,""like_count"":null,""post_count"":38680,""views_count"":null,""comment_count"":null,""share_count"":null}","I am forever holding the victims of October 7th in my prayers and my thoughts. We mustn't forget. 

As a US Senator from the state of Arizona, I will stand with our ally in the Middle East against these forces that are hell-bent on Israel's destruction and I will stand with the https://t.co/RnC03OrfZt",2024-10-07T20:24:39.000Z,1244,289,61,58484,220487,3614.5409836065573
3007,332696755,https://twitter.com/michaelcburgess/status/1843386795343655277,Twitter,8643971,"Michael Burgess, MD","{""follower_count"":35654,""following_count"":2735,""like_count"":null,""post_count"":11655,""views_count"":null,""comment_count"":null,""share_count"":null}","For 365 days Hamas has held 101 innocents in tunnels, cold, injured, and scared. Both Israelis and Americans, hoping to see the faces of their families again.

We stand by Israel, as they continue to fight for their existence, and ensure this kind of atrocity never happens again. https://t.co/WbjYXqXsSh",2024-10-07T20:23:55.000Z,8,1,1,583,3565,3565.0
3008,332694923,https://twitter.com/RepTeresaLF/status/1843386698677531041,Twitter,8403326,Rep. Teresa Leger Fernández,"{""follower_count"":11204,""following_count"":323,""like_count"":null,""post_count"":3090,""views_count"":null,""comment_count"":null,""share_count"":null}","One year after Hamas’s horrific October 7th attack on Israel, we remember the innocent lives taken and pray for the well-being of the 100+ people that the terrorist group continues to hold hostage.",2024-10-07T20:23:32.000Z,7,3,2,1224,1120,560.0
3009,332696647,https://twitter.com/RepKManning/status/1843386659611738144,Twitter,7843850,Congresswoman Kathy Manning,"{""follower_count"":9719,""following_count"":865,""like_count"":null,""post_count"":3307,""views_count"":null,""comment_count"":null,""share_count"":null}","In the year following Hamas’s October 7th attack, antisemitic incidents have surged a staggering 200% in the U.S. 

My bipartisan #CounteringAntisemitismAct will take action to address the alarming rise of antisemitism and protect the Jewish community. https://t.co/xuqjl66DbV",2024-10-07T20:23:22.000Z,3,3,9,451,971,107.88888888888889
